CreatedById,CreatedDate,CurrencyIsoCode,Id,IsDeleted,LastModifiedById,LastModifiedDate,Name,ONB2__Active__c,ONB2__AdditionalDescription__c,ONB2__AdditionalTitle__c,ONB2__AggregateIndividualPriced__c,ONB2__BillingPeriod__c,ONB2__BillingType__c,ONB2__BillingUnit__c,ONB2__ChargeModel__c,ONB2__Commission__c,ONB2__ContractValueCorrection__c,ONB2__ContractValueInvoiced__c,ONB2__ContractValueRemaining__c,ONB2__ContractValue__c,ONB2__DecimalPlacesForQuantity__c,ONB2__DecimalPlacesForUnitPrice__c,ONB2__Description__c,ONB2__Discount__c,ONB2__DisplaySubtotalAfter__c,ONB2__EndDate__c,ONB2__GlobalMonthlyMinimum__c,ONB2__IgnoreCriterion__c,ONB2__InvoiceLineItemType__c,ONB2__NextInvoice__c,ONB2__PriceType__c,ONB2__Price__c,ONB2__ProductGroup__c,ONB2__Quantity__c,ONB2__Sequence__c,ONB2__StartDate__c,ONB2__Subscription__c,ONB2__SyncWith__c,ONB2__Title__c,ONB2__TransactionPriceField__c,ONB2__TransactionPriceTierQuantityField__c,ONB2__TransactionQuantityField__c,ONB2__TransactionType__c,ONB2__Unit__c,OwnerId,SalesMRR__c,SystemModstamp,bIsBundle__c,bIsHardware__c,bIsModule__c,bIsRecurring__c,bIsTrialItem__c,bRenewItem__c,fmlActiveMRR__c,fmlChannel__c,fmlDiscountedMRR__c,fmlItemPriceDiscounted__c,fmlNextInvoiceValue__c,fmlNextRevenue__c,fmlTerm__c,plChannelCountryCode__c,plChannelSalesType__c,plChannelUserRole__c,plFinancialReporting_ProductClass__c,refContract__c,refOpportunity__c,refParentItem__c,refProduct2__c,ruItemPrice__c,strFinancialReporting_SalesChannel__c,strOpportunityProductId__c,strParentOpportunityProductId__c,object_type
005b00000038AwiAAE,2016-07-21 08:12:24,EUR,a25b0000004d4dqAAA,False,005b0000003Yw8VAAS,2016-09-13 14:14:04,m_shift,True,,,False,1.0,Recurring,Month,,,,,240.0,240.0,,,,0.0,False,2017-09-19,False,False,,,Default,,Module,1.0,60.0,2016-09-20,a2Lb00000027zCREAY,,Piano Turni,,,,,,005b00000038AwiAAE,240.0,2016-09-13 14:14:04,False,False,True,True,False,True,20.0,FirstSell_CS_IT,20.0,20.0,20.0,20.0,12.0,IT,FirstSell,CS,None,800b0000003xxJWAAY,006b000000KzGNpAAN,,01tb0000004rhzoAAA,20.0,Outbound_IT,00kb000003p4Q1WAAU,00kb000003p4Q1TAAU,ONB2__Item__c
005b00000038AwiAAE,2016-07-22 08:22:51,EUR,a25b0000004d4jMAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:16:09,b_business,True,,,False,1.0,Recurring,Month,,,,,1188.0,1188.0,,,"Calendario online, gestione degli appuntamenti, prenotazione online degli appuntamenti tramite widget sul sito e sulla pagina facebook, promemoria via SMS, banca dati clienti, newsletter, inserimento nella rete di soci partner, login personalizzato per ogni dipendente, app per i dipendenti in versione iOS ed Android",0.0,False,2017-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000027zErEAI,,Shore Business Cloud,,,,,,005b00000038AwiAAE,1188.0,2016-09-13 14:16:09,True,False,False,True,False,True,99.0,FirstSell_SME_IT,99.0,99.0,99.0,99.0,12.0,IT,FirstSell,SME,None,800b0000003xxbWAAQ,006b000000LMnNsAAL,,01tb0000004rhzUAAQ,99.0,Outbound_IT,00kb000003p5WMcAAM,,ONB2__Item__c
005b00000038AwiAAE,2016-07-22 08:22:51,EUR,a25b0000004d4jNAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:16:09,s_app,True,,,False,1.0,One-Time,None,,,,,125.0,125.0,,,,0.0,False,2016-09-20,False,False,,,Default,,Setup,1.0,20.0,2016-09-20,a2Lb00000027zErEAI,,Costo di Attivazione Shore App,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:16:09,False,False,False,False,False,True,0.0,FirstSell_SME_IT,0.0,125.0,125.0,0.0,0.0,IT,FirstSell,SME,None,800b0000003xxbWAAQ,006b000000LMnNsAAL,,01tb0000004ri0DAAQ,125.0,Outbound_IT,00kb000003p5WMgAAM,00kb000003p5WMcAAM,ONB2__Item__c
005b00000038AwiAAE,2016-07-22 08:22:51,EUR,a25b0000004d4jOAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:16:09,m_feedback,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2017-09-19,False,False,,,Default,,Module,1.0,30.0,2016-09-20,a2Lb00000027zErEAI,,Feedback da Parte del Cliente,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:16:09,False,False,True,True,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,12.0,IT,FirstSell,SME,None,800b0000003xxbWAAQ,006b000000LMnNsAAL,,01tb0000004rhzZAAQ,0.0,Outbound_IT,00kb000003p5WMdAAM,00kb000003p5WMcAAM,ONB2__Item__c
005b00000038AwiAAE,2016-07-22 08:22:51,EUR,a25b0000004d4jPAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:16:09,m_branding,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2017-09-19,False,False,,,Default,,Module,1.0,40.0,2016-09-20,a2Lb00000027zErEAI,,Branding via SMS/E-Mail,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:16:09,False,False,True,True,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,12.0,IT,FirstSell,SME,None,800b0000003xxbWAAQ,006b000000LMnNsAAL,,01tb0000004rhzeAAA,0.0,Outbound_IT,00kb000003p5WMeAAM,00kb000003p5WMcAAM,ONB2__Item__c
005b00000038AwiAAE,2016-07-22 08:22:51,EUR,a25b0000004d4jQAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:16:09,m_app,True,,,False,1.0,Recurring,Month,,,,,708.0,708.0,,,,0.0,False,2017-09-19,False,False,,,Default,,Module,1.0,50.0,2016-09-20,a2Lb00000027zErEAI,,Shore App,,,,,,005b00000038AwiAAE,708.0,2016-09-13 14:16:09,False,False,True,True,False,True,59.0,FirstSell_SME_IT,59.0,59.0,59.0,59.0,12.0,IT,FirstSell,SME,None,800b0000003xxbWAAQ,006b000000LMnNsAAL,,01tb0000004rhztAAA,59.0,Outbound_IT,00kb000003p5WMfAAM,00kb000003p5WMcAAM,ONB2__Item__c
005b0000001PvcTAAS,2016-05-31 20:40:10,EUR,a25b00000048W70AAE,False,005b0000003Yw8VAAS,2016-09-13 14:18:31,app00,True,,,False,12.0,Recurring,Month,,,,,1947.07,1947.0708,,,"Android e iOS, design moderno",8.33,False,2019-09-19,False,False,,,Default,,Module,1.0,20.0,2016-09-20,a2Lb0000001YyMOEA0,,Shore App,,,,,,005b0000001PvcTAAS,1947.07,2016-09-13 14:18:31,False,False,False,False,False,True,54.09,FirstSell_SME_IT,54.09,54.09,649.02,649.02,36.0,IT,FirstSell,SME,Licence-APP,,,,,59.0,Outbound_IT,,,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-31 07:06:10,EUR,a25b0000000SIUTAA4,False,005b0000003Yw8VAAS,2016-09-13 14:19:30,b_business,True,,,False,1.0,Recurring,Month,,,,,1656.0,1656.0,,,"Agenda en la nube, gestión de citas, widget de reservas online mediante página web y facebook, recordatorios por SMS, gestión de clientes, newsletter, inclusión en nuestra red de socios, logins personalizados para empleados, aplicación móvil para empleados de iOS/Android",0.0,False,2018-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000001QY1EAM,,Shore Business Cloud,,,,,,005b0000003Yw8VAAS,1656.0,2016-09-13 14:19:30,True,False,False,True,False,True,69.0,FirstSell_CS_ES,69.0,69.0,69.0,69.0,24.0,ES,FirstSell,CS,None,800b000000Cp01zAAB,006b000000HgflFAAR,,01tb0000004ri4KAAQ,69.0,Outbound_ES,00kb000003pwBFdAAM,,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-31 07:06:10,EUR,a25b0000000SIUUAA4,False,005b0000003Yw8VAAS,2016-09-13 14:19:30,s_business,True,,,False,1.0,One-Time,None,,,,,0.0,0.0,,,,0.0,False,2016-09-20,False,False,,,Default,,Setup,1.0,20.0,2016-09-20,a2Lb00000001QY1EAM,,Tarifa de Activación Shore Business Cloud,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 14:19:30,False,False,False,False,False,True,0.0,FirstSell_CS_ES,0.0,0.0,0.0,0.0,0.0,ES,FirstSell,CS,None,800b000000Cp01zAAB,006b000000HgflFAAR,,01tb0000004ri53AAA,0.0,Outbound_ES,00kb000003pwBFfAAM,00kb000003pwBFdAAM,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-31 07:06:10,EUR,a25b0000000SIUVAA4,False,005b0000003Yw8VAAS,2016-09-13 14:19:30,m_branding,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2018-09-19,False,False,,,Default,,Module,1.0,30.0,2016-09-20,a2Lb00000001QY1EAM,,E-Mail/SMS Branding,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 14:19:30,False,False,True,True,False,True,0.0,FirstSell_CS_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,CS,None,800b000000Cp01zAAB,006b000000HgflFAAR,,01tb0000004ri4UAAQ,0.0,Outbound_ES,00kb000003pwBFeAAM,00kb000003pwBFdAAM,ONB2__Item__c
005b0000001PvcTAAS,2016-06-14 08:25:00,EUR,a25b0000004d2BhAAI,False,005b0000003Yw8VAAS,2016-09-13 14:20:18,prenew24,True,,,False,1.0,Recurring,Month,,,,,948.0,948.0,,,"Gestión de clientes, servicio de Marketing, Feedback, Reservas online, etc.",0.0,False,2017-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000027xejEAA,,Shore Premium,,,,,,005b0000001PvcTAAS,948.0,2016-09-13 14:20:18,False,False,False,False,False,True,79.0,Reduction_CS_ES,79.0,79.0,79.0,79.0,12.0,ES,Reduction,CS,Licence-CRM,,,,,79.0,Outbound_ES,,,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-30 06:39:58,EUR,a25b0000000SIQ2AAO,False,005b0000003Yw8VAAS,2016-09-13 14:21:29,b_business,True,,,False,1.0,Recurring,Month,,,,,2136.0,2136.0,,,"Agenda en la nube, gestión de citas, widget de reservas online mediante página web y facebook, recordatorios por SMS, gestión de clientes, newsletter, inclusión en nuestra red de socios, logins personalizados para empleados, aplicación móvil para empleados de iOS/Android",0.0,False,2018-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000001QUkEAM,,Shore Business Cloud,,,,,,005b0000003Yw8VAAS,2136.0,2016-09-13 14:21:29,True,False,False,True,False,True,89.0,FirstSell_SME_ES,89.0,89.0,89.0,89.0,24.0,ES,FirstSell,SME,None,800b000000CozpjAAB,006b000000Hene0AAB,,01tb0000004ri4KAAQ,89.0,Outbound_ES,00kb000003pw744AAA,,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-30 06:39:58,EUR,a25b0000000SIQ3AAO,False,005b0000003Yw8VAAS,2016-09-13 14:21:29,s_business,True,,,False,1.0,One-Time,None,,,,,0.0,0.0,,,,0.0,False,2016-09-20,False,False,,,Default,,Setup,1.0,20.0,2016-09-20,a2Lb00000001QUkEAM,,Tarifa de Activación Shore Business Cloud,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 14:21:29,False,False,False,False,False,True,0.0,FirstSell_SME_ES,0.0,0.0,0.0,0.0,0.0,ES,FirstSell,SME,None,800b000000CozpjAAB,006b000000Hene0AAB,,01tb0000004ri53AAA,0.0,Outbound_ES,00kb000003pw745AAA,00kb000003pw744AAA,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-30 06:39:58,EUR,a25b0000000SIQ4AAO,False,005b0000003Yw8VAAS,2016-09-13 14:21:29,m_payment,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2018-09-19,False,False,,,Default,,Module,1.0,30.0,2016-09-20,a2Lb00000001QUkEAM,,Pago online para clientes,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 14:21:29,False,False,True,True,False,True,0.0,FirstSell_SME_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,SME,None,800b000000CozpjAAB,006b000000Hene0AAB,,01tb0000006QR5WAAW,0.0,Outbound_ES,00kb000003pw746AAA,00kb000003pw744AAA,ONB2__Item__c
005b0000003Yw8VAAS,2016-08-30 06:39:58,EUR,a25b0000000SIQ5AAO,False,005b0000003Yw8VAAS,2016-09-13 14:21:29,m_branding,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2018-09-19,False,False,,,Default,,Module,1.0,40.0,2016-09-20,a2Lb00000001QUkEAM,,E-Mail/SMS Branding,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 14:21:29,False,False,True,True,False,True,0.0,FirstSell_SME_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,SME,None,800b000000CozpjAAB,006b000000Hene0AAB,,01tb0000004ri4UAAQ,0.0,Outbound_ES,00kb000003pw747AAA,00kb000003pw744AAA,ONB2__Item__c
005b0000003Yw8VAAS,2016-06-30 09:05:11,EUR,a25b0000004d3TfAAI,False,005b0000003Yw8VAAS,2016-09-13 14:22:25,prenew24,True,,,False,1.0,Recurring,Month,,,,,1800.0,1800.0,,,"Gestión de clientes, servicio de Marketing, Feedback, Reservas online, etc.",0.0,False,2019-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000027yOIEAY,,Shore Premium,,,,,,005b0000003Yw8VAAS,1800.0,2016-09-13 14:22:25,False,False,False,False,False,True,50.0,FirstSell_SME_ES,50.0,50.0,50.0,50.0,36.0,ES,FirstSell,SME,Licence-CRM,,,,,50.0,Outbound_ES,,,ONB2__Item__c
005b0000003Yw8VAAS,2016-06-30 09:05:11,EUR,a25b0000004d3TgAAI,False,005b0000003Yw8VAAS,2016-09-13 14:22:25,app00,True,,,False,1.0,Recurring,Month,,,,,1800.0,1800.0,,,"iOS y Android, diseño moderno",0.0,False,2019-09-19,False,False,,,Default,,Module,1.0,20.0,2016-09-20,a2Lb00000027yOIEAY,,Shore App,,,,,,005b0000003Yw8VAAS,1800.0,2016-09-13 14:22:25,False,False,False,False,False,True,50.0,FirstSell_SME_ES,50.0,50.0,50.0,50.0,36.0,ES,FirstSell,SME,Licence-APP,,,,,50.0,Outbound_ES,,,ONB2__Item__c
005b0000003Yw8VAAS,2016-06-30 09:05:11,EUR,a25b0000004d3ThAAI,False,005b0000003Yw8VAAS,2016-09-13 14:22:25,service00,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,Premium Support,0.0,False,2019-09-19,False,False,,,Default,,Module,1.0,30.0,2016-09-20,a2Lb00000027yOIEAY,,Shore Success Plus,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 14:22:25,False,False,False,False,False,True,0.0,FirstSell_SME_ES,0.0,0.0,0.0,0.0,36.0,ES,FirstSell,SME,Module-CRM,,,,,0.0,Outbound_ES,,,ONB2__Item__c
005b0000001PvcTAAS,2016-05-31 07:24:57,EUR,a25b00000048VzRAAU,False,005b0000003Yw8VAAS,2016-09-13 14:23:59,digitalweb24,True,,,False,1.0,Recurring,Month,,,,,2832.0,2832.0,,,Shore Digital contiene el paquete Enterprise y Shore Web o Shore Cash,0.0,False,2018-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb0000001YyKNEA0,,Shore Digital+Website,,,,,,005b0000001PvcTAAS,2832.0,2016-09-13 14:23:59,False,False,False,False,False,True,118.0,FirstSell_SME_ES,118.0,118.0,118.0,118.0,24.0,ES,FirstSell,SME,Licence-CRM/WEB,,,,,118.0,Outbound_ES,,,ONB2__Item__c
005b00000038AwiAAE,2016-02-08 09:54:13,EUR,a25b000000403n2AAA,False,005b0000003Yw8VAAS,2016-09-13 14:25:20,ent24,True,,,False,1.0,Recurring,Month,,,,632.0,1264.0,1896.0,,,"Incluye además- Service PLUS, Booking PLUS, SMS Marketing 2000, SMS Personalizados.",0.0,False,2018-02-11,False,False,,2016-10-12,Default,,Licence,1.0,10.0,2016-02-12,a2Lb0000001V0ePEAS,,Shore Enterprise,,,,,,005b00000038AwiAAE,1896.0,2016-09-13 14:25:20,False,False,False,False,False,True,79.0,FirstSell_SME_ES,79.0,79.0,79.0,79.0,24.0,ES,FirstSell,SME,Licence-CRM,,,,,79.0,Outbound_ES,,,ONB2__Item__c
005b00000038AwiAAE,2016-02-08 09:54:13,EUR,a25b000000403n3AAA,False,005b0000003Yw8VAAS,2016-09-13 14:25:20,app00,True,,,False,1.0,Recurring,Month,,,,312.0,624.0,936.0,,,Aplicación móvil de moderno diseño para iOS y Android,0.0,False,2018-02-11,False,False,,2016-10-12,Default,,Module,1.0,20.0,2016-02-12,a2Lb0000001V0ePEAS,,Shore App,,,,,,005b00000038AwiAAE,936.0,2016-09-13 14:25:20,False,False,False,False,False,True,39.0,FirstSell_SME_ES,39.0,39.0,39.0,39.0,24.0,ES,FirstSell,SME,Licence-APP,,,,,39.0,Outbound_ES,,,ONB2__Item__c
005b00000038AwiAAE,2016-07-27 07:39:44,EUR,a25b0000004d4uVAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:28:54,b_business,True,,,False,1.0,Recurring,Month,,,,119.0,2737.0,2856.0,,,"Agenda en la nube, gestión de citas, widget de reservas online mediante página web y facebook, recordatorios por SMS, gestión de clientes, newsletter, inclusión en nuestra red de socios, logins personalizados para empleados, aplicación móvil para empleados de iOS/Android",0.0,False,2018-08-31,False,False,,2016-10-01,Default,,Licence,1.0,10.0,2016-09-01,a2Lb00000027zMuEAI,,Shore Business Cloud,,,,,,005b00000038AwiAAE,2856.0,2016-09-13 14:28:54,True,False,False,True,False,True,119.0,FirstSell_CS_ES,119.0,119.0,119.0,119.0,24.0,ES,FirstSell,CS,None,800b0000003xyLBAAY,006b000000LMgIsAAL,,01tb0000004ri4KAAQ,119.0,Outbound_ES,00kb000003p8olGAAQ,,ONB2__Item__c
005b00000038AwiAAE,2016-07-27 07:39:44,EUR,a25b0000004d4uWAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:28:54,m_payment,True,,,False,1.0,Recurring,Month,,,,0.0,0.0,0.0,,,,0.0,False,2018-08-31,False,False,,2016-10-01,Default,,Module,1.0,20.0,2016-09-01,a2Lb00000027zMuEAI,,Pago online para clientes,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:28:54,False,False,True,True,False,True,0.0,FirstSell_CS_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,CS,None,800b0000003xyLBAAY,006b000000LMgIsAAL,,01tb0000006QR5WAAW,0.0,Outbound_ES,00kb000003p8olHAAQ,00kb000003p8olGAAQ,ONB2__Item__c
005b00000038AwiAAE,2016-07-27 07:39:44,EUR,a25b0000004d4uXAAQ,False,005b0000003Yw8VAAS,2016-09-13 14:28:54,m_branding,True,,,False,1.0,Recurring,Month,,,,0.0,0.0,0.0,,,,0.0,False,2018-08-31,False,False,,2016-10-01,Default,,Module,1.0,30.0,2016-09-01,a2Lb00000027zMuEAI,,E-Mail/SMS Branding,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:28:54,False,False,True,True,False,True,0.0,FirstSell_CS_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,CS,None,800b0000003xyLBAAY,006b000000LMgIsAAL,,01tb0000004ri4UAAQ,0.0,Outbound_ES,00kb000003p8olIAAQ,00kb000003p8olGAAQ,ONB2__Item__c
005b00000038AwiAAE,2016-06-21 07:29:48,EUR,a25b0000004d2ZYAAY,False,005b0000003Yw8VAAS,2016-09-13 14:30:35,prenew24,True,,,False,1.0,Recurring,Month,,,,,1176.0,1176.0,,,"Gestión de clientes, servicio de Marketing, Feedback, Reservas online, etc.",0.0,False,2018-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000027xuYEAQ,,Shore Premium,,,,,,005b00000038AwiAAE,1176.0,2016-09-13 14:30:35,False,False,False,False,False,True,49.0,FirstSell_SME_ES,49.0,49.0,49.0,49.0,24.0,ES,FirstSell,SME,Licence-CRM,,,,,49.0,Outbound_ES,,,ONB2__Item__c
005b00000038AwiAAE,2016-06-21 07:29:48,EUR,a25b0000004d2ZZAAY,False,005b0000003Yw8VAAS,2016-09-13 14:30:35,cash00,True,,,False,1.0,Recurring,Month,,,,,1944.0,1944.0,,,"certificado LOPD, ubicado en la nube",0.0,False,2018-09-19,False,False,,,Default,,Module,1.0,20.0,2016-09-20,a2Lb00000027xuYEAQ,,Shore Cash,,,,,,005b00000038AwiAAE,1944.0,2016-09-13 14:30:35,False,False,False,False,False,True,81.0,FirstSell_SME_ES,81.0,81.0,81.0,81.0,24.0,ES,FirstSell,SME,Licence-CASH,,,,,81.0,Outbound_ES,,,ONB2__Item__c
005b00000038AwiAAE,2016-06-21 07:29:48,EUR,a25b0000004d2ZaAAI,False,005b0000003Yw8VAAS,2016-09-13 14:30:35,networkmodule00,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,"Inclusión en la Red de Cooperaciones de Shore (>19 Directorios Online), Widget en Facebook",0.0,False,2018-09-19,False,False,,,Default,,Module,1.0,30.0,2016-09-20,a2Lb00000027xuYEAQ,,Shore Network,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:30:35,False,False,False,False,False,True,0.0,FirstSell_SME_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,SME,None,,,,,0.0,Outbound_ES,,,ONB2__Item__c
005b00000038AwiAAE,2016-06-21 07:29:48,EUR,a25b0000004d2ZbAAI,False,005b0000003Yw8VAAS,2016-09-13 14:30:35,smsplus00,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,"Recordatorio de cita SMS, Newsletter SMS",0.0,False,2018-09-19,False,False,,,Default,,Module,1.0,40.0,2016-09-20,a2Lb00000027xuYEAQ,,Shore SMS Plus,,,,,,005b00000038AwiAAE,0.0,2016-09-13 14:30:35,False,False,False,False,False,True,0.0,FirstSell_SME_ES,0.0,0.0,0.0,0.0,24.0,ES,FirstSell,SME,Module-CRM,,,,,0.0,Outbound_ES,,,ONB2__Item__c
